Folder,FileNames,MeanPixIntensities
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190102_SB11-15-Plate3_T0_0_H2_0_RFP-DFTrCy5_BGpbs_MN_ALIGNED_15.tif,2484.41
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190102_SB11-15-Plate3_T0_0_H2_0_RFP-DFTrCy5_BGpbs_MN_ALIGNED_19.tif,2560.52
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190102_SB11-15-Plate3_T0_0_H2_0_RFP-DFTrCy5_BGpbs_MN_ALIGNED_9.tif,3688.66
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190131_SB21-25-plate6_T1_24_A1_0_RFP-DFTrCy5_BGpbs_MN_ALIGNED_7.tif,7054.85
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190131_SB21-25-plate6_T1_24_A2_0_RFP-DFTrCy5_BGpbs_MN_ALIGNED_5.tif,2388.1
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190131_SB21-25-plate6_T1_24_A3_0_RFP-DFTrCy5_BGpbs_MN_ALIGNED_6.tif,1354.24
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190131_SB21-25-plate6_T1_24_A3_0_RFP-DFTrCy5_BGpbs_MN_ALIGNED_7.tif,1718.71
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190131_SB21-25-plate6_T1_24_A5_0_RFP-DFTrCy5_BGpbs_MN_ALIGNED_5.tif,1678.78
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190131_SB21-25-plate6_T1_24_B1_0_RFP-DFTrCy5_BGpbs_MN_ALIGNED_1.tif,1516.93
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190131_SB21-25-plate6_T1_24_B2_0_RFP-DFTrCy5_BGpbs_MN_ALIGNED_7.tif,2151.37
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190131_SB21-25-plate6_T1_24_B3_0_RFP-DFTrCy5_BGpbs_MN_ALIGNED_3.tif,1876.7
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190131_SB21-25-plate6_T1_24_C4_0_RFP-DFTrCy5_BGpbs_MN_ALIGNED_5.tif,2112.12
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190131_SB21-25-plate6_T1_24_C5_0_RFP-DFTrCy5_BGpbs_MN_ALIGNED_27.tif,5352.18
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190206_SB26-30plate1_T0_0_D2_0_RFP-DFTrCy5_BGpbs_MN_ALIGNED_2.tif,3951.32
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190206_SB26-30plate1_T0_0_D4_0_RFP-DFTrCy5_BGpbs_MN_ALIGNED_3.tif,1953.53
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190206_SB26-30plate1_T0_0_D5_0_RFP-DFTrCy5_BGpbs_MN_ALIGNED_1.tif,3315.34
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190206_SB26-30plate1_T0_0_E3_0_RFP-DFTrCy5_BGpbs_MN_ALIGNED_2.tif,3601.88
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190206_SB26-30plate1_T0_0_E7_0_RFP-DFTrCy5_BGpbs_MN_ALIGNED_4.tif,1917.73
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190206_SB26-30plate1_T0_0_E8_0_RFP-DFTrCy5_BGpbs_MN_ALIGNED_4.tif,1987.65
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190206_SB26-30plate1_T0_0_F11_0_RFP-DFTrCy5_BGpbs_MN_ALIGNED_1.tif,1968.51
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190206_SB26-30plate1_T0_0_F6_0_RFP-DFTrCy5_BGpbs_MN_ALIGNED_2.tif,2959.79
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190206_SB26-30plate1_T0_0_F8_0_RFP-DFTrCy5_BGpbs_MN_ALIGNED_2.tif,3601.11
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190206_SB26-30plate1_T0_0_F9_0_RFP-DFTrCy5_BGpbs_MN_ALIGNED_10.tif,4652.97
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190206_SB26-30plate2_T1_24_E10_0_RFP-DFTrCy5_BGpbs_MN_ALIGNED_1.tif,1623.58
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190206_SB26-30plate2_T1_24_E11_0_RFP-DFTrCy5_BGpbs_MN_ALIGNED_2.tif,2811.06
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190206_SB26-30plate2_T1_24_E1_0_RFP-DFTrCy5_BGpbs_MN_ALIGNED_4.tif,3881.92
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190206_SB26-30plate2_T1_24_E1_0_RFP-DFTrCy5_BGpbs_MN_ALIGNED_5.tif,2591.57
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190206_SB26-30plate2_T1_24_E2_0_RFP-DFTrCy5_BGpbs_MN_ALIGNED_5.tif,3771.7
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190206_SB26-30plate2_T1_24_E7_0_RFP-DFTrCy5_BGpbs_MN_ALIGNED_3.tif,3167.64
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190206_SB26-30plate2_T1_24_E9_0_RFP-DFTrCy5_BGpbs_MN_ALIGNED_2.tif,8485.69
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190206_SB26-30plate2_T1_24_F2_0_RFP-DFTrCy5_BGpbs_MN_ALIGNED_1.tif,2391.69
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190206_SB26-30plate2_T1_24_F3_0_RFP-DFTrCy5_BGpbs_MN_ALIGNED_1.tif,2244.51
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190206_SB26-30plate2_T1_24_F5_0_RFP-DFTrCy5_BGpbs_MN_ALIGNED_8.tif,3830.91
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190416_EV1-5-automated_T0_0_G1_0_RFP-DFTrCy5_BGpbs_MN_ALIGNED_1.tif,2607.0
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190416_EV1-5-automated_T0_0_G1_0_RFP-DFTrCy5_BGpbs_MN_ALIGNED_5.tif,1992.65
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190416_EV1-5-automated_T0_0_G1_0_RFP-DFTrCy5_BGpbs_MN_ALIGNED_6.tif,2219.18
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190416_EV1-5-automated_T0_0_G2_0_RFP-DFTrCy5_BGpbs_MN_ALIGNED_1.tif,3899.62
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190416_EV1-5-automated_T0_0_G2_0_RFP-DFTrCy5_BGpbs_MN_ALIGNED_2.tif,1601.3
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190416_EV1-5-automated_T0_0_G2_0_RFP-DFTrCy5_BGpbs_MN_ALIGNED_4.tif,3409.17
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190416_EV1-5-automated_T0_0_G3_0_RFP-DFTrCy5_BGpbs_MN_ALIGNED_5.tif,1738.2
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190416_EV1-5-automated_T0_0_G4_0_RFP-DFTrCy5_BGpbs_MN_ALIGNED_1.tif,2715.23
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190520_EV6-10-automated_T0_0_D5_0_RFP-DFTrCy5_BGpbs_MN_ALIGNED_2.tif,6596.13
C:\Users\sinad\Dropbox (Gladstone)\Feature_based_classification\FIJI_SingleTp_S_CTR_1,PID20190520_EV6-10-automated_T0_0_D6_0_RFP-DFTrCy5_BGpbs_MN_ALIGNED_2.tif,2233.49
